##### Special Ruins

10073 = jungle
10074 = forest
10075 = forest
10076 = hills
10077 = hills
10078 = hills
10079 = hills
10080 = plains
10081 = forest
10082 = forest
10083 = plains
10084 = forest
10092 = hills
10093 = forest
10094 = forest
10091 = jungle
10095 = forest
10096 = forest
10035 = hills
10034 = hills
10036 = hills
10038 = hills
10037 = hills
10039 = mountains
10040 = hills
10041 = mountains
10048 = jungle
10049 = hills
10050 = mountains
10051 = jungle
10047 = hills
10052 = mountains
10053 = hills
10111 = mountains
10042 = hills
10043 = hills
10044 = forest
10045 = forest
10046 = hills
10104 = mountains
10105 = mountains
10106 = hills
10107 = hills
10108 = jungle
10109 = hills
10110 = jungle
10085 = forest
10086 = jungle
10087 = jungle
10088 = jungle
10089 = jungle
10090 = jungle
10098 = jungle
10099 = jungle
10100 = hills
10097 = jungle
10101 = jungle
10102 = jungle
10103 = jungle
10148 = jungle
10149 = jungle
10147 = jungle
10150 = jungle
10151 = jungle
10152 = jungle
10153 = jungle
10154 = hills
10155 = jungle
10156 = jungle
10157 = jungle
10158 = jungle
10159 = jungle
10127 = mountains
10128 = mountains
10129 = hills
10130 = jungle
10126 = jungle
10131 = jungle
10113 = mountains
10114 = hills
10115 = mountains
10112 = hills
10116 = hills
10117 = mountains
10118 = mountains
10120 = mountains
10119 = hills
10121 = jungle
10122 = jungle
10123 = jungle
10124 = jungle
10125 = jungle
10021 = jungle
10029 = mountains
10030 = hills
10031 = jungle
10028 = hills
10032 = jungle
10033 = jungle
9988 = hills
9989 = mountains
9990 = hills
9991 = jungle
9992 = jungle
10022 = forest
10023 = forest
10024 = jungle
10025 = forest
10026 = jungle
10027 = jungle
9997 = forest
9998 = jungle
9999 = hills
10000 = hills
10001 = jungle
10002 = jungle
10009 = forest
10010 = hills
10011 = jungle
10012 = hills
10013 = forest
10014 = jungle
10015 = jungle
9993 = jungle
9994 = jungle
9995 = jungle
9996 = jungle
9983 = hills
9984 = jungle
9985 = hills
9986 = mountains
9987 = mountains
10004 = forest
10005 = forest
10003 = hills
10006 = hills
10007 = hills
10008 = forest
9440 = forest
9441 = jungle
9439 = forest
9438 = hills
9442 = forest
9443 = forest
9444 = jungle
9472 = plains
9473 = forest
9474 = forest
9475 = jungle
9476 = jungle
9477 = forest
9478 = jungle
9467 = plains
9466 = plains
9468 = forest
9469 = forest
9470 = forest
9471 = forest
9479 = forest
9480 = jungle
9481 = jungle
9482 = jungle
9483 = jungle
9484 = jungle
9485 = jungle
9487 = jungle
9488 = jungle
9489 = jungle
9490 = jungle
9491 = jungle
9486 = jungle
9492 = jungle
9493 = jungle
9460 = jungle
9461 = jungle
9459 = jungle
9462 = jungle
9463 = jungle
9464 = jungle
9465 = jungle
9544 = jungle
9545 = wetlands
9546 = jungle
9547 = wetlands
9543 = jungle
9548 = jungle
9549 = jungle
9551 = jungle
9552 = jungle
9553 = jungle
9550 = jungle
9554 = jungle
9555 = forest
9556 = forest
9557 = wetlands
9558 = jungle
9559 = wetlands
9560 = wetlands
9562 = jungle
9563 = wetlands
9564 = jungle
9561 = jungle
9565 = wetlands
9566 = wetlands
9507 = the_bog
9508 = the_bog
9509 = the_bog
9510 = the_bog
9506 = wetlands
9511 = the_bog
9495 = the_bog
9496 = wetlands
9497 = wetlands
9494 = forest
9498 = wetlands
9499 = wetlands
9501 = wetlands
9502 = the_bog
9500 = wetlands
9503 = the_bog
9504 = the_bog
9505 = the_bog
9513 = wetlands
9514 = wetlands
9515 = the_bog
9516 = wetlands
9517 = wetlands
9512 = wetlands
9518 = the_bog
9520 = forest
9521 = wetlands
9522 = forest
9519 = forest
9523 = wetlands
9524 = wetlands
9531 = wetlands
9532 = jungle
9530 = wetlands
9533 = wetlands
9534 = wetlands
9535 = jungle
9536 = jungle
9538 = the_bog
9539 = the_bog
9537 = wetlands
9540 = the_bog
9541 = wetlands
9542 = the_bog
9526 = wetlands
9527 = wetlands
9528 = jungle
9525 = jungle
9529 = wetlands
10140 = jungle
10141 = jungle
10142 = jungle
10143 = jungle
10144 = jungle
10145 = jungle
10146 = jungle
10133 = jungle
10134 = jungle
10135 = jungle
10136 = hills
10137 = jungle
10138 = forest
10139 = forest
10132 = hills
10016 = forest
10017 = jungle
10018 = jungle
10019 = jungle
10020 = jungle
