##### Special Ruins

10935 = jungle
10937 = jungle
10938 = jungle
10939 = jungle
10940 = jungle
10942 = wetlands
10943 = jungle
10941 = jungle
10944 = jungle
10945 = jungle
10946 = hills
10947 = forest
10948 = jungle
10949 = jungle
10950 = forest
10951 = forest
10952 = hills
10953 = hills
10954 = hills
10955 = hills
10956 = plains
10957 = forest
10958 = forest
10959 = plains
10960 = forest
10968 = hills
10969 = forest
10970 = forest
10967 = jungle
10971 = forest
10972 = forest
10911 = hills
10910 = hills
10912 = hills
10914 = hills
10913 = hills
10915 = mountains
10916 = hills
10917 = mountains
10924 = jungle
10925 = hills
10926 = mountains
10927 = jungle
10923 = hills
10928 = mountains
10929 = hills
10987 = mountains
10918 = hills
10919 = hills
10920 = forest
10921 = forest
10922 = hills
10980 = mountains
10981 = mountains
10982 = hills
10983 = hills
10984 = jungle
10985 = hills
10986 = jungle
10961 = forest
10962 = jungle
10963 = jungle
10964 = jungle
10965 = jungle
10966 = jungle
10974 = jungle
10975 = jungle
10976 = hills
10973 = jungle
10977 = jungle
10978 = jungle
10979 = jungle
11024 = jungle
11025 = jungle
11023 = jungle
11026 = jungle
11027 = jungle
11028 = jungle
11029 = jungle
11030 = hills
11031 = jungle
11032 = jungle
11033 = jungle
11034 = jungle
11035 = jungle
11003 = mountains
11004 = mountains
11005 = hills
11006 = jungle
11002 = jungle
11007 = jungle
10989 = mountains
10990 = hills
10991 = mountains
10988 = hills
10992 = hills
10993 = mountains
10994 = mountains
10996 = mountains
10995 = hills
10997 = jungle
10998 = jungle
10999 = jungle
11000 = jungle
11001 = jungle
10897 = jungle
10905 = mountains
10906 = hills
10907 = jungle
10904 = hills
10908 = jungle
10909 = jungle
10864 = hills
10865 = mountains
10866 = hills
10867 = jungle
10868 = jungle
10898 = forest
10899 = forest
10900 = jungle
10901 = forest
10902 = jungle
10903 = jungle
10873 = forest
10874 = jungle
10875 = hills
10876 = hills
10877 = jungle
10878 = jungle
10885 = forest
10886 = hills
10887 = jungle
10888 = hills
10889 = forest
10890 = jungle
10891 = jungle
10869 = jungle
10870 = jungle
10871 = jungle
10872 = jungle
10859 = hills
10860 = jungle
10861 = hills
10862 = mountains
10863 = mountains
10880 = forest
10881 = forest
10879 = hills
10882 = hills
10883 = hills
10884 = forest
10316 = forest
10317 = jungle
10315 = forest
10314 = hills
10318 = forest
10319 = forest
10320 = jungle
10348 = plains
10349 = forest
10350 = forest
10351 = jungle
10352 = jungle
10353 = forest
10354 = jungle
10343 = plains
10342 = plains
10344 = forest
10345 = forest
10346 = forest
10347 = forest
10355 = forest
10356 = jungle
10357 = jungle
10358 = jungle
10359 = jungle
10360 = jungle
10361 = jungle
10363 = jungle
10364 = jungle
10365 = jungle
10366 = jungle
10367 = jungle
10362 = jungle
10368 = jungle
10369 = jungle
10336 = jungle
10337 = jungle
10335 = jungle
10338 = jungle
10339 = jungle
10340 = jungle
10341 = jungle
10420 = jungle
10421 = wetlands
10422 = jungle
10423 = wetlands
10419 = jungle
10424 = jungle
10425 = jungle
10427 = jungle
10428 = jungle
10429 = jungle
10426 = jungle
10430 = jungle
10431 = forest
10432 = forest
10433 = wetlands
10434 = jungle
10435 = wetlands
10436 = wetlands
10438 = jungle
10439 = wetlands
10440 = jungle
10437 = jungle
10441 = wetlands
10442 = wetlands
10383 = the_bog
10384 = the_bog
10385 = the_bog
10386 = the_bog
10382 = wetlands
10387 = the_bog
10371 = the_bog
10372 = wetlands
10373 = wetlands
10370 = forest
10374 = wetlands
10375 = wetlands
10377 = wetlands
10378 = the_bog
10376 = wetlands
10379 = the_bog
10380 = the_bog
10381 = the_bog
10389 = wetlands
10390 = wetlands
10391 = the_bog
10392 = wetlands
10393 = wetlands
10388 = wetlands
10394 = the_bog
10396 = forest
10397 = wetlands
10398 = forest
10395 = forest
10399 = wetlands
10400 = wetlands
10407 = wetlands
10408 = jungle
10406 = wetlands
10409 = wetlands
10410 = wetlands
10411 = jungle
10412 = jungle
10414 = the_bog
10415 = the_bog
10413 = wetlands
10416 = the_bog
10417 = wetlands
10418 = the_bog
10402 = wetlands
10403 = wetlands
10404 = jungle
10401 = jungle
10405 = wetlands
11016 = jungle
11017 = jungle
11018 = jungle
11019 = jungle
11020 = jungle
11021 = jungle
11022 = jungle
11009 = jungle
11010 = jungle
11011 = jungle
11012 = hills
11013 = jungle
11014 = forest
11015 = forest
11008 = hills
10892 = forest
10893 = jungle
10894 = jungle
10895 = jungle
10896 = jungle
